"Species","Common","IUIS Allergen","Type","Group","Allergenicity","Length","Accession","GI#","1st Version"
"Litopenaeus vannamei","Whiteleg Shrimp","Lit v 3.0101","Food Animal","Litopenaeus Lit v 3 myosin","IgE but no biological test","177","ACC76803.1","184198734","10"
"Lupinus albus","white lupine","Unassigned","Food Plant","Lupinus albus congluten beta","IgE but no biological test","531","CAI84850.2","89994190","14"
"Lupinus albus","white lupine","Unassigned","Food Plant","Lupinus albus congluten beta","IgE but no biological test","533","Q6EBC1.1","75121065","17"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","521","ABR21771.1","149208401","9"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","455","ABR21772.1","149208403","9"
"Lupinus angustifolius","blue lupin","Lup an 1.0101","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","611","ACB05815.1","169950562","10"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","605","F5B8W5.1","980951568","17"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","593","F5B8W4.1","980951565","17"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","637","F5B8W3.1","980951561","17"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","590","F5B8W2.1","980951555","17"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","580","F5B8W1.1","980951550","17"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","603","F5B8W0.1","980951548","17"
"Lupinus angustifolius","blue lupin","Unassigned","Food Plant","Lupinus Lup an 1 conglutin beta","IgE but no biological test","611","F5B8V9.1","980951518","17"
"Lycium barbarum","wolfberry","Unassigned","Food Plant","Lycium ltp","IgE but no biological test","51","B3A0N2.1","363805423","13"
"Macrobrachium rosenbergii","Giant River Prawn","Mac r 1.0101","Food Animal","Macrobrachium rosenbergii shrimp tropomyosin","IgE but no biological test","284","ADC55380.1","288819271","11"
"Macrobrachium rosenbergii","Giant River Prawn","Unassigned","Food Animal","Macrobrachium rosenbergii shrimp tropomyosin","IgE but no biological test","284","AHA85706.1","558698675","15"
"Macruronus magellanicus","Patagonian Grenadier","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","98","P86739.1","308191450","12"
"Macruronus magellanicus","Patagonian Grenadier","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86741.1","308191461","12"
"Macruronus magellanicus","Patagonian Grenadier","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","74","P86740.1","308191474","12"
"Macruronus novaezelandiae","Blue hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","83","P86742.1","308191475","12"
"Malus x domestica","Apple","Mal d 1.0301","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","CAA96534.1","1313966","7"
"Malus x domestica","Apple","Mal d 1.0401","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","160","CAA96535.1","1313968","7"
"Malus x domestica","Apple","Mal d 1.0402","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","160","CAA96536.1","1313970","7"
"Malus x domestica","Apple","Mal d 1.0403","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","160","CAA96537.1","1313972","7"
"Malus x domestica","Apple","Mal d 1.0206","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD13683.1","2443824","7"
"Malus x domestica","Apple","Mal d 1.0103","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD26546.1","4590364","7"
"Malus x domestica","Apple","Mal d 1.0203","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD26547.1","4590366","7"
"Malus x domestica","Apple","Mal d 1.0204","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD26548.1","4590368","7"
"Malus x domestica","Apple","Mal d 1.0104","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD26552.1","4590376","7"
"Malus x domestica","Apple","Mal d 1.0105","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD26553.1","4590378","7"
"Malus x domestica","Apple","Mal d 1.0106","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD26554.1","4590380","7"
"Malus x domestica","Apple","Mal d 1.0107","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD26555.1","4590382","7"
"Malus x domestica","Apple","Mal d 1.0205","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD26558.1","4590388","7"
"Malus x domestica","Apple","Mal d 1.0208","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","158","CAD32318.1","21685277","7"
"Malus x domestica","Apple","Mal d 1.0304","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAO25113.1","27922941","7"
"Malus x domestica","Apple","Mal d 1.0108","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAD29671.1","4768879","11"
"Malus x domestica","Apple","Mal d 1.0201","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAB01362.1","862307","11"
"Malus x domestica","Apple","Mal d 1.0102","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","CAA88833.1","886683","11"
"Malus x domestica","Apple","Mal d 1.0101","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","CAA58646.1","747852","15"
"Malus x domestica","Apple","Mal d 1.0109","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAK13029.1","15418742","15"
"Malus x domestica","Apple","Mal d 1.0207","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAK13030.1","15418744","15"
"Malus x domestica","Apple","Mal d 1.0302","Food Plant","Malus Mal d 1","IgE plus basophil+ or SPT+","159","AAK13027.1","15418738","15"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","IgE but no biological test","26","AAB35897.1","1478293","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","IgE but no biological test","246","AAX19848.1","60418842","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","IgE but no biological test","246","AAX19851.1","60418848","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","IgE but no biological test","246","Q9FSG7.1","30316292","8"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","IgE but no biological test","158","CAT99612.1","218059718","10"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","IgE but no biological test","158","CAT99611.1","218059715","10"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","IgE but no biological test","193","AFM77001.1","392507603","13"
"Malus x domestica","Apple","Mal d 2.0101","Food Plant","Malus Mal d 2","IgE but no biological test","245","AAC36740.1","3643249","15"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 2","IgE but no biological test","159","APG29330.1","1109403341","18"
"Malus x domestica","Apple","Mal d 3.0201","Food Plant","Malus Mal d 3","IgE plus basophil+ or SPT+","115","AAF26450.1","6715522","7"
"Malus x domestica","Apple","Mal d 3.0203","Food Plant","Malus Mal d 3","IgE plus basophil+ or SPT+","115","AAT80665.1","50659891","7"
"Malus x domestica","Apple","Mal d 3.0202","Food Plant","Malus Mal d 3","IgE plus basophil+ or SPT+","115","AAT80664.1","50659889","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","IgE plus basophil+ or SPT+","115","AAT80662.1","50659885","7"
"Malus x domestica","Apple","","Food Plant","Malus Mal d 3","IgE plus basophil+ or SPT+","115","AAT80659.1","50659879","7"
"Malus x domestica","Apple","Mal d 3.0102","Food Plant","Malus Mal d 3","IgE plus basophil+ or SPT+","115","AAT80649.1","50659859","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 3","IgE plus basophil+ or SPT+","115","AAR22488.1","38492338","7"
"Malus x domestica","Apple","Mal d 4.0302","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","CAD46559.1","28881453","7"
"Malus x domestica","Apple","Mal d 4.0102","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","CAD46561.1","28881457","7"
"Malus x domestica","Apple","Mal d 4.0202","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","CAD46560.1","28881455","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","AAX19854.1","60418854","7"
"Malus x domestica","Apple","","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","AAX19856.1","60418858","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","AAX19858.1","60418862","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","AAX19860.1","60418866","7"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","CAK93713.1","164510842","9"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","CAK93753.1","164510858","9"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","CAK93757.1","164510860","9"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","77","CAT99618.1","218059730","10"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","115","CAT99619.1","218059733","10"
"Malus x domestica","Apple","Unassigned","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","CAT99617.1","218059728","10"
"Malus x domestica","Apple","Mal d 4.0301","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","AAD29412.1","4761584","11"
"Malus x domestica","Apple","Mal d 4.0201","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","AAD29413.1","4761586","11"
"Malus x domestica","Apple","Mal d 4.0101","Food Plant","Malus Mal d 4","IgE plus basophil+ or SPT+","131","AAD29414.1","4761588","11"
"Manihot esculenta","Cassava","Unassigned","Food Plant","Manihot Man e 5.0101","IgE but no biological test","177","AAM55492.1","21585695","7"
"Manihot esculenta","Cassava","Man e 5.0101","Food Plant","Manihot Man e 5.0101","IgE but no biological test","177","AEE98392.1","332713934","14"
"Manilkara zapota","Sapodilla plum","Unassigned","Food Plant","Manilkara Thaumatin like protein 1","IgE but no biological test","12","B3EWS0.1","442580988","14"
"Manilkara zapota","Sapodilla plum","Unassigned","Food Plant","Manilkara Thaumatin like protein 1","IgE but no biological test","9","B3EWE5.3","442570282","14"
"Manilkara zapota","Sapodilla plum","Unassigned","Food Plant","Manilkara Thaumatin like protein 1","IgE but no biological test","207","G5DC91.2","663434113","15"
"Marsupenaeus japonicus","Kuruma Shrimp","Unassigned","Food Animal","Marsupenaeus tropomyosin","IgE but no biological test","284","BAF47263.1","125995159","8"
"Melicertus latisulcatus","King Prawn","Mel l 1.0101","Food Animal","Melicertus tropomyosin","IgE but no biological test","284","AGF86397.1","451935062","14"
"Merluccius australis australis","southern hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86745.1","308191452","12"
"Merluccius australis polylepis","Southern hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86749.1","308191453","12"
"Merluccius australis polylepis","Southern hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86750.1","308191464","12"
"Merluccius bilinearis","Silver hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86752.1","308191465","12"
"Merluccius bilinearis","Silver hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86753.1","308191478","12"
"Merluccius bilinearis","Silver hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","94","P86754.1","308191488","12"
"Merluccius capensis","Shallow-water cape hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86757.1","308191466","12"
"Merluccius gayi","Southern Pacific hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86761.1","308191455","12"
"Merluccius gayi","Southern Pacific hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","91","P86760.1","308191489","12"
"Merluccius merluccius","European hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P02620.1","131116","12"
"Merluccius merluccius","European hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86765.1","308191469","12"
"Merluccius paradoxus","Deep-water cape hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86768.1","308191457","12"
"Merluccius paradoxus","Deep-water cape hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86769.1","308191470","12"
"Merluccius paradoxus","Deep-water cape hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","95","P86770.1","308191483","12"
"Merluccius polli","Benguela hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86771.1","308191471","12"
"Merluccius polli","Benguela hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","69","P86772.1","308191484","12"
"Merluccius productus","North Pacific hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86774.1","308191459","12"
"Merluccius productus","North Pacific hake","Unassigned","Food Animal","Merluccius sp. Macruronus sp. Parvalbumin Hake","IgE but no biological test","108","P86775.1","308191472","12"
"Metapenaeus ensis","Greasyback shrimp","Met e 1.0101","Food Animal","Metapenaeus Met e 1 Tropomyosin","IgE but no biological test","274","AAA60330.1","607633","7"
"Mimachlamys nobilis","Noble scallop","Unassigned","Food Animal","Mimachlamys Tropomyosin","IgE plus basophil+ or SPT+","284","AAG08989.1","9954253","7"
"Morus alba var. atropurpurea","White Mulberry","Unassigned","Food Plant","Morus winter accumulating protein","IgE but no biological test","157","AHW81906.1","610664572","15"
"Morus bombycis","Mulberry","Unassigned","Food Plant","Morus winter accumulating protein","IgE but no biological test","157","AAV33670.1","54311115","12"
"Morus bombycis","Mulberry","Unassigned","Food Plant","Morus winter accumulating protein","IgE but no biological test","157","AAV33672.1","54311119","12"
"Morus nigra","Black mulberry","Mor n 3.0101","Food Plant","Morus Mor n 3 mulberry LTP","IgE plus basophil+ or SPT+","91","P85894.1","288561913","11"
"Musa acuminata","Banana","Mus a 1.0101","Food Plant","Musa acuminata Mus a 1 profilin banana","IgE but no biological test","131","AAK54834.1","14161635","7"
"Musa acuminata","Banana","Unassigned","Food Plant","Musa acuminata Mus a 5 Endo-Beta-1,3-Glucanase","IgE plus basophil+ or SPT+","312","2CYG_A","83754908","7"
"Musa acuminata","Banana","Mus a 4.0101","Food Plant","Musa Mus a 4","IgE plus basophil+ or SPT+","200","1Z3Q_A","88191901","7"
"Musa acuminata","Banana","Mus a 2.0101","Food Plant","Musa Mus s 2","IgE but no biological test","318","CAC81811.1","17932710","15"
"Musa acuminata AAA Group","Banana","Unassigned","Food Plant","Musa acuminata Mus a 5 Endo-Beta-1,3-Glucanase","IgE plus basophil+ or SPT+","340","AAB82772.2","6073860","14"
"Mustelus griseus","","Unassigned","Food Animal","Mustelus griseus parvalbumin","IgE but no biological test","110","5ZGM_A","1446210823","20"
"Mustelus griseus","","Unassigned","Food Animal","Mustelus griseus parvalbumin","IgE but no biological test","107","5ZH6_A","1446210825","20"
"Neptunea polycostata","Wrinkled Neptune","Unassigned","Food Animal","Neptunea tropomyosin","IgE but no biological test","284","BAH10150.1","219806590","10"
"Octopus vulgaris","Octopus","Unassigned","Food Animal","Octopus tropomyosin","IgE but no biological test","284","BAE54433.1","83715936","7"
"Ommastrephes bartramii","red squid","Unassigned","Food Animal","Ommastrephes tropomyosin","IgE but no biological test","284","BAE54432.1","83715934","7"
"Oncorhynchus keta","chum salmon","Onc k 5.0101","Food Animal","Oncorhynchus Onc k 5","IgE but no biological test","193","BAJ07603.1","296040357","15"
"Oncorhynchus mykiss","rainbow trout","Onc m 1.0101","Food Animal","Oncorhynchus Rainbow trout parv Onc m 1","IgE but no biological test","108","P86431.1","288559139","11"
"Oncorhynchus mykiss","rainbow trout","Onc m 1.0201","Food Animal","Oncorhynchus Rainbow trout parv Onc m 1","IgE but no biological test","107","P86432.1","288559140","11"
"Oncorhynchus mykiss","rainbow trout","Unassigned","Food Animal","Oncorhynchus Rainbow trout parv Onc m 1","IgE but no biological test","97","AOO96842.1","1064270801","19"
"Oratosquilla oratoria","mantis shrimp","Unassigned","Food Animal","Oratosquilla tropomyosin","IgE plus basophil+ or SPT+","284","BAF95206.1","162286975","9"
"Oreochromis mossambicus","Mozambique tilapia","Ore m 4.0101","Food Animal","Oreochromis Ore m 4 tropomyosin","IgE but no biological test","284","AFV53352.1","410060781","14"
"Oryza sativa","Rice","Unassigned","Food Plant","Oryza Glyoxalase I","IgE but no biological test","291","Q948T6.2","84029333","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Glyoxalase I","IgE but no biological test","291","BAB71741.1","16580747","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","157","BAC20657.1","23616954","8"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","165","BAA01998.1","218193","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","157","BAA01996.1","218197","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","111","BAA07772.1","1304216","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","109","BAA07773.1","1304217","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","113","BAA07774.1","1304218","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","166","BAA07710.1","1398913","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","160","BAA07711.1","1398915","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","157","BAA07712.1","1398916","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","160","BAA07713.1","1398918","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","157","AAB99797.1","2827316","7"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","166","Q01882.2","114152865","8"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","163","Q01883.2","114152864","8"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","160","BAC19997.1","23495787","8"
"Oryza sativa (japonica cultivar-group)","Rice","Unassigned","Food Plant","Oryza Trypsin alpha-amylase inhibitor","IgE but no biological test","160","BAC20650.1","23616947","7"
"Pandalus borealis","caribean shrimp","Pan b 1.0101","Food Animal","Pandalus Pan b 1","IgE but no biological test","284","CBY17558.1","312831088","12"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pan h 13","IgE but no biological test","333","XP_026782131.1","1503232071","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pan h 2","IgE but no biological test","341","XP_026777250.1","1503219495","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pan h 3","IgE but no biological test","364","XP_026771637.1","1503205716","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pan h 4","IgE but no biological test","284","XP_026781482.1","1503230610","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pan h 4","IgE but no biological test","284","XP_026775428.1","1503215309","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pan h 7","IgE but no biological test","380","XP_026780620.1","1503229023","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pan h 8","IgE but no biological test","248","XP_026795867.1","1503267586","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pan h 9","IgE but no biological test","530","XP_026775867.1","1503216605","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pangasianodon hypothalmus Pan h 1","IgE but no biological test","109","XP_026772003.1","1503206382","20"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pangasianodon hypothalmus Pan h 1","IgE but no biological test","109","XP_026803769.1","1503286187","20"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pangasianodon hypothalmus Pan h 11","IgE but no biological test","553","XP_026782721.1","1503233516","21"
"Pangasianodon hypophthalmus","","Unassigned","Food Animal","Pangasianodon Pan h 10","IgE but no biological test","333","XP_026774991.1","1503214048","21"
"Panulirus stimpsoni","Lobster","Pan s 1.0101","Food Animal","Panulirus Pan s 1","IgE plus basophil+ or SPT+","274","AAC38996.1","3080761","11"
"Paralithodes camtschaticus","Kamchatka crab","Unassigned","Food Animal","Paralithodes tropomyosin","IgE but no biological test","284","BAF47265.1","125995163","8"
"Paralithodes camtschaticus","Kamchatka crab","Unassigned","Food Animal","Paralithodes tropomyosin","IgE but no biological test","284","BAF47266.1","125995165","8"
"Penaeus monodon","Black tiger shrimp","Pen m 3.0101","Food Animal","Pen m 3 myosin light chain","IgE but no biological test","177","ADV17342.1","317383196","12"
"Penaeus monodon","Black tiger shrimp","Pen m 1.0101","Food Animal","Penaeus Pen m 1 tropomyosin","IgE but no biological test","284","AAX37288.1","60892782","15"
"Penaeus monodon","Black tiger shrimp","Pen m 2.0101","Food Animal","Penaeus Pen m 2","IgE plus basophil+ or SPT+","356","AAO15713.1","27463265","7"
"Penaeus monodon","Black tiger shrimp","Unassigned","Food Animal","Penaeus Pen m 2","IgE plus basophil+ or SPT+","356","C7E3T4.1","308154236","12"
"Penaeus monodon","Black tiger shrimp","Pen m 4.0101","Food Animal","Penaeus Pen m 4 sarcoplasmic calcium binding","IgE but no biological test","193","ADV17343.1","317383198","12"
"Perna viridis","Asian green mussell","Unassigned","Food Animal","Perna Tropomyosin","IgE but no biological test","284","AAG08988.1","9954251","7"
"Persea americana","Avocado","Pers a 1.0101","Food Plant","Persea Pers a 1","IgE but no biological test","326","CAB01591.1","3201547","7"
"Phaseolus vulgaris","Kidney bean","Pha v 3.0101","Food Plant","Phaseolus Pha v 3","IgE plus basophil+ or SPT+","115","ADC80502.1","289064177","11"
"Phaseolus vulgaris","Kidney bean","Pha v 3.0201","Food Plant","Phaseolus Pha v 3","IgE plus basophil+ or SPT+","118","ADC80503.1","289064179","11"
"Pinus koraiensis","","Pin k 2.0101","Food Plant","Pinus koraiensis vicilin Pin k 2.0101","IgE but no biological test","463","AHC94918.1","567773309","15"
"Pinus pinea","Pine","Unassigned","Food Plant","Pinus pinea albumin AAI","IgE but no biological test","110","CEJ95862.1","749495809","16"
"Pinus pinea","Pine","Pin p 1.0101","Food Plant","Pinus pinea Pin p 1 2S","IgE plus basophil+ or SPT+","164","CTQ87571.1","916237486","16"
"Pistacia vera","pistachio","Unassigned","Food Plant","Pistacia 11S globulin","IgE but no biological test","472","ABU42022.1","156001070","9"
"Pistacia vera","pistachio","Pis v 2.0101","Food Plant","Pistacia 11S globulin","IgE but no biological test","496","ABG73109.1","110349083","10"
"Pistacia vera","pistachio","Pis v 2.0201","Food Plant","Pistacia 11S globulin","IgE but no biological test","472","ABG73110.1","110349085","10"
"Pistacia vera","pistachio","Pis v 1.0101","Food Plant","Pistacia Pis v 1 2S albumin","IgE but no biological test","149","ABG73108.1","110349081","10"
"Pistacia vera","pistachio","Pis v 3.0101","Food Plant","Pistacia Pis v 3 vicilin","IgE but no biological test","519","ABO36677.1","133711974","10"
"Pistacia vera","pistachio","Pis v 4.0101","Food Plant","Pistacia Pis v 4","IgE but no biological test","230","ABR29644.1","149786150","9"
"Pisum sativum","Pea","Pis s 1.0102","Food Plant","Pisum Pis s 1","IgE but no biological test","415","CAF25233.1","42414629","7"
"Pisum sativum","Pea","Pis s 1.0101","Food Plant","Pisum Pis s 1","IgE but no biological test","415","CAF25232.1","42414627","7"
"Pisum sativum","Pea","Pis s 2.0101","Food Plant","Pisum Pis s 2","IgE but no biological test","613","CAB82855.1","7339551","15"
"Pisum sativum","Pea","Pis s 3.0101","Food Plant","Pisum sativum Pis s 3","IgE but no biological test","120","AJG44053.1","752855036","17"
"Pisum sativum","Pea","Unassigned","Food Plant","Pisum sativum Pis s 3","IgE but no biological test","120","A0A158V755.1","1064302992","18"
"Pisum sativum","Pea","Unassigned","Food Plant","Pisum sativum Pis s 3","IgE but no biological test","119","A0A158V976.1","1064302965","18"
"Pisum sativum","Pea","Unassigned","Food Plant","Pisum sativum Pis s 3","IgE but no biological test","95","2N81_A","1026943499","18"
"Pontastacus leptodactylus","Danube crayfish","Pon l 4.0101","Food Animal","Pontastacus Pon l 4","IgE but no biological test","192","P05946.1","134309","15"
"Portunus pelagicus","blue swimmer crab","Por p 1.0101","Food Animal","Portunus Por p 1 tropomyosin","IgE plus basophil+ or SPT+","284","AGE44125.1","448278534","14"
"Portunus sanguinolentus","Crab","Unassigned","Food Animal","Portunus Por s and t tropomyosin","IgE but no biological test","284","ABL89183.1","119674937","8"
"Portunus trituberculatus","Crab","Unassigned","Food Animal","Portunus Por s and t tropomyosin","IgE but no biological test","284","ABS12234.1","151505281","9"
"Procambarus clarkii","red swamp crayfish","Pro c 1.0101","Food Animal","Pro c 1 tropomyosin","IgE but no biological test","284","ACN87223.1","225348412","10"
"Procambarus clarkii","red swamp crayfish","Pro c 2.0101","Food Animal","Pro c 2  arginine kinase","IgE but no biological test","357","AFA45339.1","375298901","13"
"Procambarus clarkii","red swamp crayfish","Pro c 5.0101","Food Animal","Pro c 5 myosin","IgE but no biological test","153","AFP95338.1","401606251","19"
"Procambarus clarkii","red swamp crayfish","Pro c 8.0101","Food Animal","Pro c 8  TPI","IgE but no biological test","248","AEB54655.1","328900101","19"
"Protortonia cacti","Arthropod","Unassigned","Food Animal","Protortonia","IgE but no biological test","335","BAH59276.1","237769615","11"
